LP;Zawodnik;AVG - zawodnik;Przeciwnik;AVG - przeciwnik;Wynik;Faza;Turniej;Data
1373;Jonny Clayton;83.06;Jyhan Artut;85.21;"6;4";L48;International Darts Open;19.06.2015
1374;Tomas Seyler;85.96;Toni Alcinas;80.03;"6;1";L48;International Darts Open;19.06.2015
1375;Stephen Bunting;93.05;Jamie Robinson;91.71;"6;2";L48;International Darts Open;19.06.2015
1376;Cristo Reyes;100.63;Dean Winstanley;88.82;"6;1";L48;International Darts Open;19.06.2015
1377;James Wilson;91.83;Eddie Dootson;85.84;"6;2";L48;International Darts Open;19.06.2015
1378;Max Hopp;87.43;Kevin McDine;87.76;"6;2";L48;International Darts Open;19.06.2015
1379;Mark Barilli;74.57;Daniel Zygla;71.24;"6;4";L48;International Darts Open;19.06.2015
1380;Mickey Mansell;91.31;Jeffrey de Zwaan;80.97;"6;1";L48;International Darts Open;19.06.2015
1381;Matt Clark;95.06;John Henderson;91.28;"6;5";L48;International Darts Open;19.06.2015
1382;Daryl Gurney;96.86;Ken MacNeil;91.02;"6;4";L48;International Darts Open;19.06.2015
1383;Matthew Edgar;88.25;Darren Webster;81.87;"6;5";L48;International Darts Open;19.06.2015
1384;Robert Marijanovic;87.55;Christian Kist;80.24;"6;0";L48;International Darts Open;19.06.2015
1385;Mensur Suljovic;93.1;Mark Walsh;82.76;"6;2";L48;International Darts Open;19.06.2015
1386;William O'Connor;89.39;Mike de Decker;82.94;"6;2";L48;International Darts Open;19.06.2015
1387;Terry Jenkins;94.6;Jamie Lewis;90.16;"6;4";L32;International Darts Open;20.06.2015
1388;Rowby-John Rodriguez;88.72;Vincent van der Voort;91.72;"6;4";L32;International Darts Open;20.06.2015
1389;Steve Beaton;88.9;Mark Barilli;70.59;"6;1";L32;International Darts Open;20.06.2015
1390;Michael Smith;85.19;Jonny Clayton;75.35;"6;4";L32;International Darts Open;20.06.2015
1391;Robert Thornton;83.57;Tomas Seyler;82.84;"6;5";L32;International Darts Open;20.06.2015
1392;Ian White;92.68;Mickey Mansell;89.37;"6;4";L32;International Darts Open;20.06.2015
1393;Stephen Bunting;91.63;Jamie Caven;89.12;"6;3";L32;International Darts Open;20.06.2015
1394;Peter Wright;103.66;Matt Clark;81.11;"6;0";L32;International Darts Open;20.06.2015
1395;Kim Huybrechts;91.53;Cristo Reyes;94.66;"6;5";L32;International Darts Open;20.06.2015
1396;Daryl Gurney;94.54;Simon Whitlock;95.67;"6;5";L32;International Darts Open;20.06.2015
1397;Dave Chisnall;101.33;Matthew Edgar;87.21;"6;0";L32;International Darts Open;20.06.2015
1398;Brendan Dolan;88.47;Robert Marijanovic;83.12;"6;5";L32;International Darts Open;20.06.2015
1399;Justin Pipe;98.2;James Wilson;93.0;"6;5";L32;International Darts Open;20.06.2015
1400;Max Hopp;88.19;Mervyn King;85.77;"6;3";L32;International Darts Open;20.06.2015
1401;Benito van de Pas;95.89;Mensur Suljovic;88.84;"6;5";L32;International Darts Open;20.06.2015
1402;Michael van Gerwen;101.42;William O'Connor;94.1;"6;5";L32;International Darts Open;20.06.2015
1403;Terry Jenkins;98.62;Rowby-John Rodriguez;89.43;"6;2";L16;International Darts Open;21.06.2015
1404;Michael Smith;96.33;Steve Beaton;92.72;"6;3";L16;International Darts Open;21.06.2015
1405;Ian White;103.01;Robert Thornton;92.96;"6;3";L16;International Darts Open;21.06.2015
1406;Stephen Bunting;104.11;Peter Wright;100.1;"6;5";L16;International Darts Open;21.06.2015
1407;Kim Huybrechts;92.22;Daryl Gurney;93.18;"6;4";L16;International Darts Open;21.06.2015
1408;Dave Chisnall;104.97;Brendan Dolan;92.78;"6;2";L16;International Darts Open;21.06.2015
1409;Justin Pipe;89.63;Max Hopp;86.83;"6;2";L16;International Darts Open;21.06.2015
1410;Benito van de Pas;92.61;Michael van Gerwen;97.68;"6;4";L16;International Darts Open;21.06.2015
1411;Michael Smith;101.35;Terry Jenkins;93.52;"6;5";QF;International Darts Open;21.06.2015
1412;Ian White;105.12;Stephen Bunting;99.96;"6;5";QF;International Darts Open;21.06.2015
1413;Kim Huybrechts;95.55;Dave Chisnall;97.73;"6;4";QF;International Darts Open;21.06.2015
1414;Benito van de Pas;89.28;Justin Pipe;91.13;"6;4";QF;International Darts Open;21.06.2015
1415;Michael Smith;92.46;Ian White;88.95;"6;3";SF;International Darts Open;21.06.2015
1416;Benito van de Pas;95.41;Kim Huybrechts;95.18;"6;3";SF;International Darts Open;21.06.2015
1417;Michael Smith;88.23;Benito van de Pas;81.41;"6;3";Final;International Darts Open;21.06.2015
1418;Kevin McDine;90.83928571428572;Daryl Gurney;93.92168674698796;"6;5";L48;European Darts Open;10.07.2015
1419;Mark Webster;87.44117647058823;Stuart Kellett;79.04444444444445;"6;2";L48;European Darts Open;10.07.2015
1420;Jelle Klaasen;100.69767441860465;Eddie Dootson;91.24615384615385;"6;3";L48;European Darts Open;10.07.2015
1421;Johnny Haines;84.58181818181819;Christian Soethe;81.9090909090909;"6;4";L48;European Darts Open;10.07.2015
1422;Rowby-John Rodriguez;88.17948717948718;Barrie Bates;79.79439252336448;"6;1";L48;European Darts Open;10.07.2015
1423;Mark Walsh;81.06293706293707;Tomas Seyler;76.31654676258994;"6;2";L48;European Darts Open;10.07.2015
1424;Dimitri van den Bergh;99.96850393700787;Christian Kist;100.35483870967742;"6;3";L48;European Darts Open;10.07.2015
1425;Wes Newton;95.93617021276596;Gerwyn Price;85.43333333333334;"6;0";L48;European Darts Open;10.07.2015
1426;Alan Norris;96.55932203389831;Andy Smith;86.63157894736842;"6;2";L48;European Darts Open;10.07.2015
1427;Mensur Suljovic;94.67272727272727;Mike de Decker;90.19760479041916;"6;5";L48;European Darts Open;10.07.2015
1428;Joe Cullen;96.85401459854015;Maik Langendorf;85.55395683453237;"6;3";L48;European Darts Open;10.07.2015
1429;John Henderson;83.91620111731844;Andrew Gilding;90.35795454545455;"6;5";L48;European Darts Open;10.07.2015
1430;Devon Petersen;88.61142857142858;Nathan Aspinall;92.70175438596492;"6;5";L48;European Darts Open;10.07.2015
1431;Jyhan Artut;89.54545454545455;Stephen Bunting;93.34615384615385;"6;3";L48;European Darts Open;10.07.2015
1432;Dirk van Duijvenbode;88.9448275862069;Leo Hendriks;79.88513513513513;"6;3";L48;European Darts Open;10.07.2015
1433;Jamie Lewis;79.81218274111676;Michael Rosenauer;76.80000000000001;"6;5";L48;European Darts Open;10.07.2015
1434;Justin Pipe;93.21126760563381;Kevin McDine;94.04166666666666;"6;4";L32;European Darts Open;11.07.2015
1435;Terry Jenkins;102.73469387755102;John Henderson;94.71875;"6;1";L32;European Darts Open;11.07.2015
1436;Brendan Dolan;90.86046511627907;Mark Walsh;80.73387096774194;"6;2";L32;European Darts Open;11.07.2015
1437;Johnny Haines;88.65957446808511;Benito van de Pas;90.27857142857142;"6;3";L32;European Darts Open;11.07.2015
1438;Mark Webster;101.56310679611651;Steve Beaton;93.8936170212766;"6;1";L32;European Darts Open;11.07.2015
1439;Mervyn King;95.77941176470588;Wes Newton;97.23255813953489;"6;3";L32;European Darts Open;11.07.2015
1440;Robert Thornton;102.19108280254775;Dimitri van den Bergh;95.81012658227849;"6;5";L32;European Darts Open;11.07.2015
1441;Alan Norris;84.21052631578947;Ian White;90.85207100591717;"6;5";L32;European Darts Open;11.07.2015
1442;Michael Smith;99.4090909090909;Mensur Suljovic;104.81679389312976;"6;4";L32;European Darts Open;11.07.2015
1443;James Wade;100.19999999999999;Dirk van Duijvenbode;78.79310344827587;"6;0";L32;European Darts Open;11.07.2015
1444;Kim Huybrechts;105.47014925373134;Jyhan Artut;104.13636363636363;"6;4";L32;European Darts Open;11.07.2015
1445;Michael van Gerwen;92.5909090909091;Jamie Lewis;87.88888888888889;"6;1";L32;European Darts Open;11.07.2015
1446;Vincent van der Voort;96.42857142857144;Rowby-John Rodriguez;94.85840707964601;"6;2";L32;European Darts Open;11.07.2015
1447;Jelle Klaasen;104.69387755102042;Dave Chisnall;101.7391304347826;"6;1";L32;European Darts Open;11.07.2015
1448;Simon Whitlock;99.1764705882353;Joe Cullen;101.2792207792208;"6;5";L32;European Darts Open;11.07.2015
1449;Devon Petersen;92.53179190751445;Peter Wright;88.60000000000001;"6;5";L32;European Darts Open;11.07.2015
1450;Michael van Gerwen;101.47058823529412;Johnny Haines;89.65263157894736;"6;1";L16;European Darts Open;12.07.2015
1451;Alan Norris;96.50625000000001;Mervyn King;96.03703703703704;"6;5";L16;European Darts Open;12.07.2015
1452;Brendan Dolan;93.54929577464789;Terry Jenkins;99.40714285714286;"6;4";L16;European Darts Open;12.07.2015
1453;Kim Huybrechts;97.63636363636364;Michael Smith;96.10344827586206;"6;4";L16;European Darts Open;12.07.2015
1454;James Wade;98.85714285714285;Mark Webster;90.82758620689654;"6;4";L16;European Darts Open;12.07.2015
1455;Vincent van der Voort;99.4857142857143;Justin Pipe;88.39393939393939;"6;1";L16;European Darts Open;12.07.2015
1456;Robert Thornton;100.23664122137404;Simon Whitlock;89.75373134328359;"6;3";L16;European Darts Open;12.07.2015
1457;Jelle Klaasen;94.92631578947368;Devon Petersen;90.10000000000001;"6;0";L16;European Darts Open;12.07.2015
1458;Michael van Gerwen;105.33333333333334;Alan Norris;97.89473684210526;"6;3";QF;European Darts Open;12.07.2015
1459;Kim Huybrechts;91.38970588235294;Brendan Dolan;81.75555555555556;"6;3";QF;European Darts Open;12.07.2015
1460;James Wade;99.63636363636363;Vincent van der Voort;93.20769230769231;"6;3";QF;European Darts Open;12.07.2015
1461;Robert Thornton;96.35999999999999;Jelle Klaasen;88.26315789473685;"6;4";QF;European Darts Open;12.07.2015
1462;Kim Huybrechts;94.17293233082707;Michael van Gerwen;96.57692307692308;"6;3";SF;European Darts Open;12.07.2015
1463;Robert Thornton;111.76595744680853;James Wade;98.12359550561798;"6;1";SF;European Darts Open;12.07.2015
1464;Robert Thornton;106.17757009345794;Kim Huybrechts;100.69444444444446;"6;2";Final;European Darts Open;12.07.2015
1465;Darren Johnson;94.875;Mark Dudbridge;92.63636363636364;"6;5";L48;European Darts Trophy;11.09.2015
1466;Steve West;90.0;David Pallett;90.75974025974025;"6;4";L48;European Darts Trophy;11.09.2015
1467;Daryl Gurney;92.8125;Mark Frost;87.77952755905513;"6;2";L48;European Darts Trophy;11.09.2015
1468;Cristo Reyes;90.18461538461538;Connie Finnan;89.75806451612902;"6;2";L48;European Darts Trophy;11.09.2015
1469;Jason Lovett;89.44642857142857;Jyhan Artut;92.03508771929825;"6;5";L48;European Darts Trophy;11.09.2015
1470;Jan Dekker;90.08510638297872;Jamie Bain;92.42647058823529;"6;3";L48;European Darts Trophy;11.09.2015
1471;Adam Hunt;92.55357142857142;Krzysztof Ratajski;90.4390243902439;"6;5";L48;European Darts Trophy;11.09.2015
1472;Rowby-John Rodriguez;89.92241379310346;James Hubbard;73.17391304347825;"6;1";L48;European Darts Trophy;11.09.2015
1473;Christian Kist;92.77192982456141;Dirk van Duijvenbode;86.85798816568048;"6;5";L48;European Darts Trophy;11.09.2015
1474;Mensur Suljovic;95.93617021276596;Christian Soethe;87.06896551724138;"6;0";L48;European Darts Trophy;11.09.2015
1475;Andy Jenkins;86.87394957983193;Gerwyn Price;84.93913043478261;"6;1";L48;European Darts Trophy;11.09.2015
1476;Stephen Bunting;93.1139240506329;Mark Barilli;83.60624999999999;"6;4";L48;European Darts Trophy;11.09.2015
1477;Max Hopp;96.28;Raymond van Barneveld;92.54;"6;4";L48;European Darts Trophy;11.09.2015
1478;Kevin Painter;93.69924812030075;Alan Norris;88.43283582089552;"6;3";L48;European Darts Trophy;11.09.2015
1479;Wes Newton;89.87142857142857;Chris Dobey;92.52985074626865;"6;3";L48;European Darts Trophy;11.09.2015
1480;James Wilson;94.64;Martin Schindler;82.48993288590603;"6;4";L48;European Darts Trophy;11.09.2015
1481;Cristo Reyes;93.17763157894737;Brendan Dolan;89.18181818181819;"6;4";L32;European Darts Trophy;12.09.2015
1482;Robert Thornton;90.9493670886076;Christian Kist;84.0754716981132;"6;4";L32;European Darts Trophy;12.09.2015
1483;Justin Pipe;85.26666666666667;Mensur Suljovic;84.75;"6;5";L32;European Darts Trophy;12.09.2015
1484;Terry Jenkins;108.57931034482759;Steve West;103.14893617021278;"6;5";L32;European Darts Trophy;12.09.2015
1485;Jason Lovett;89.44;Benito van de Pas;86.83892617449663;"6;4";L32;European Darts Trophy;12.09.2015
1486;Mervyn King;101.50344827586207;Daryl Gurney;93.28767123287672;"6;4";L32;European Darts Trophy;12.09.2015
1487;Kim Huybrechts;107.35714285714286;Max Hopp;86.53846153846155;"6;0";L32;European Darts Trophy;12.09.2015
1488;Kevin Painter;92.65384615384615;Vincent van der Voort;87.40384615384615;"6;4";L32;European Darts Trophy;12.09.2015
1489;Ian White;98.87903225806451;Stephen Bunting;98.10000000000001;"6;3";L32;European Darts Trophy;12.09.2015
1490;Dave Chisnall;99.23478260869567;Jan Dekker;93.36842105263158;"6;2";L32;European Darts Trophy;12.09.2015
1491;Adrian Lewis;98.83720930232558;James Wilson;82.82307692307693;"6;3";L32;European Darts Trophy;12.09.2015
1492;Michael van Gerwen;107.69072164948454;Adam Hunt;89.79545454545455;"6;1";L32;European Darts Trophy;12.09.2015
1493;Peter Wright;90.03896103896103;Andy Jenkins;90.42857142857143;"6;4";L32;European Darts Trophy;12.09.2015
1494;Michael Smith;97.1076923076923;Wes Newton;90.64615384615385;"6;3";L32;European Darts Trophy;12.09.2015
1495;James Wade;90.4396551724138;Darren Johnson;82.26605504587157;"6;1";L32;European Darts Trophy;12.09.2015
1496;Rowby-John Rodriguez;97.32692307692308;Simon Whitlock;90.6;"6;1";L32;European Darts Trophy;12.09.2015
1497;Peter Wright;99.89583333333334;Kim Huybrechts;103.31506849315069;"6;5";L16;European Darts Trophy;13.09.2015
1498;Terry Jenkins;91.62264150943396;Adrian Lewis;99.5625;"6;5";L16;European Darts Trophy;13.09.2015
1499;Michael Smith;91.0576923076923;Kevin Painter;88.5686274509804;"6;4";L16;European Darts Trophy;13.09.2015
1500;Mervyn King;96.03680981595092;Cristo Reyes;89.6;"6;5";L16;European Darts Trophy;13.09.2015
1501;Michael van Gerwen;92.97;Jason Lovett;86.35;"6;0";L16;European Darts Trophy;13.09.2015
1502;Dave Chisnall;101.48;Justin Pipe;95.37;"6;2";L16;European Darts Trophy;13.09.2015
1503;Ian White;93.77862595419847;Rowby-John Rodriguez;94.008;"6;3";L16;European Darts Trophy;13.09.2015
1504;James Wade;99.61224489795919;Robert Thornton;92.2;"6;4";L16;European Darts Trophy;13.09.2015
1505;Peter Wright;93.0701754385965;Terry Jenkins;90.23076923076923;"6;5";QF;European Darts Trophy;13.09.2015
1506;Michael Smith;100.48695652173913;Mervyn King;91.08849557522124;"6;2";QF;European Darts Trophy;13.09.2015
1507;Ian White;92.82119205298014;James Wade;90.87417218543047;"6;4";QF;European Darts Trophy;13.09.2015
1508;Michael van Gerwen;92.96907216494846;Dave Chisnall;87.51612903225806;"6;0";QF;European Darts Trophy;13.09.2015
1509;Michael Smith;98.17322834645668;Ian White;89.62204724409449;"6;3";SF;European Darts Trophy;13.09.2015
1510;Michael van Gerwen;106.16;Peter Wright;94.77;"6;2";SF;European Darts Trophy;13.09.2015
1511;Michael Smith;98.50434782608696;Michael van Gerwen;101.09174311926606;"6;2";Final;European Darts Trophy;13.09.2015
1512;Kevin Painter;88.83;Roxy-James Rodriguez;84.59;"6;3";L48;European Darts Matchplay;18.09.2015
1513;William O'Connor;93.04;Gerwyn Price;85.01;"6;4";L48;European Darts Matchplay;18.09.2015
1514;Darren Webster;95.92;Mensur Suljovic;90.44;"6;2";L48;European Darts Matchplay;18.09.2015
1515;David Pallett;100.73;Jamie Caven;93.05;"6;2";L48;European Darts Matchplay;18.09.2015
1516;Maik Langendorf;83.67;Aaron Hardy;78.89;"6;5";L48;European Darts Matchplay;18.09.2015
1517;Andy Hamilton;103.66;Dean Winstanley;102.59;"6;3";L48;European Darts Matchplay;18.09.2015
1518;Raymond van Barneveld;97.58;Max Hopp;88.45;"6;3";L48;European Darts Matchplay;18.09.2015
1519;Ronny Huybrechts;83.72;Wes Newton;88.59;"6;5";L48;European Darts Matchplay;18.09.2015
1520;Robert Marijanovic;80.16;Dirk van Duijvenbode;79.22;"6;5";L48;European Darts Matchplay;18.09.2015
1521;Darren Johnson;82.08;Zoran Lerchbacher;68.3;"6;1";L48;European Darts Matchplay;18.09.2015
1522;Tony Newell;89.14;Terry Temple;82.16;"6;3";L48;European Darts Matchplay;18.09.2015
1523;Alan Norris;82.3;Armin Glanzer;75.98;"6;2";L48;European Darts Matchplay;18.09.2015
1524;Mark Walsh;88.76;Joe Murnan;89.36;"6;5";L48;European Darts Matchplay;18.09.2015
1525;Dimitri van den Bergh;84.04;Paul Milford;76.83;"6;2";L48;European Darts Matchplay;18.09.2015
1526;Rowby-John Rodriguez;92.87;Stefan Stoyke;86.8;"6;3";L48;European Darts Matchplay;18.09.2015
1527;Mickey Mansell;84.29;Adam Hunt;84.18;"6;3";L48;European Darts Matchplay;18.09.2015
1528;Terry Jenkins;95.32;Kevin Painter;97.78;"6;5";L32;European Darts Matchplay;19.09.2015
1529;Dave Chisnall;99.34;William O'Connor;92.3;"6;3";L32;European Darts Matchplay;19.09.2015
1530;Benito van de Pas;94.82;Robert Marijanovic;91.03;"6;4";L32;European Darts Matchplay;19.09.2015
1531;Peter Wright;84.86;Darren Johnson;72.04;"6;2";L32;European Darts Matchplay;19.09.2015
1532;Kim Huybrechts;101.62;Darren Webster;95.89;"6;2";L32;European Darts Matchplay;19.09.2015
1533;Justin Pipe;93.31;Tony Newell;90.98;"6;5";L32;European Darts Matchplay;19.09.2015
1534;David Pallett;104.83;Jelle Klaasen;97.8;"6;3";L32;European Darts Matchplay;19.09.2015
1535;Alan Norris;95.52;Michael Smith;97.61;"6;5";L32;European Darts Matchplay;19.09.2015
1536;Robert Thornton;86.66;Maik Langendorf;78.52;"6;3";L32;European Darts Matchplay;19.09.2015
1537;Brendan Dolan;82.29;Mark Walsh;80.86;"6;5";L32;European Darts Matchplay;19.09.2015
1538;Vincent van der Voort;94.38;Andy Hamilton;81.25;"6;3";L32;European Darts Matchplay;19.09.2015
1539;Ian White;94.66;Dimitri van den Bergh;87.48;"6;4";L32;European Darts Matchplay;19.09.2015
1540;Rowby-John Rodriguez;91.09;Simon Whitlock;87.45;"6;3";L32;European Darts Matchplay;19.09.2015
1541;Mervyn King;91.74;Mickey Mansell;86.42;"6;4";L32;European Darts Matchplay;19.09.2015
1542;Raymond van Barneveld;105.64;Stephen Bunting;101.78;"6;2";L32;European Darts Matchplay;19.09.2015
1543;Michael van Gerwen;97.53;Ronny Huybrechts;91.42;"6;3";L32;European Darts Matchplay;19.09.2015
1544;Dave Chisnall;107.64;Terry Jenkins;101.46;"6;5";L16;European Darts Matchplay;20.09.2015
1545;Peter Wright;99.38;Benito van de Pas;86.32;"6;3";L16;European Darts Matchplay;20.09.2015
1546;Kim Huybrechts;99.11;Justin Pipe;98.14;"6;4";L16;European Darts Matchplay;20.09.2015
1547;David Pallett;89.4;Alan Norris;91.45;"6;5";L16;European Darts Matchplay;20.09.2015
1548;Robert Thornton;93.31;Brendan Dolan;99.04;"6;4";L16;European Darts Matchplay;20.09.2015
1549;Vincent van der Voort;92.56;Ian White;91.66;"6;5";L16;European Darts Matchplay;20.09.2015
1550;Rowby-John Rodriguez;87.43;Mervyn King;95.82;"6;4";L16;European Darts Matchplay;20.09.2015
1551;Michael van Gerwen;100.21;Raymond van Barneveld;94.13;"6;1";L16;European Darts Matchplay;20.09.2015
1552;Dave Chisnall;105.03;Peter Wright;98.1;"6;3";QF;European Darts Matchplay;20.09.2015
1553;David Pallett;98.1;Kim Huybrechts;91.61;"6;5";QF;European Darts Matchplay;20.09.2015
1554;Robert Thornton;93.43;Vincent van der Voort;96.59;"6;3";QF;European Darts Matchplay;20.09.2015
1555;Michael van Gerwen;114.0;Rowby-John Rodriguez;102.89;"6;3";QF;European Darts Matchplay;20.09.2015
1556;Dave Chisnall;98.93;David Pallett;91.86;"6;3";SF;European Darts Matchplay;20.09.2015
1557;Michael van Gerwen;109.09;Robert Thornton;80.76;"6;1";SF;European Darts Matchplay;20.09.2015
1558;Michael van Gerwen;99.58;Dave Chisnall;95.89;"6;4";Final;European Darts Matchplay;20.09.2015
1559;David Pallett;90.63;Ricky Evans;85.45;"6;4";L48;European Darts Grand Prix;16.10.2015
1560;Jonny Clayton;78.42;Kevin Munch;74.95;"6;0";L48;European Darts Grand Prix;16.10.2015
1561;Jamie Caven;91.64;Stefan Stoyke;85.31;"6;4";L48;European Darts Grand Prix;16.10.2015
1562;Steve Beaton;86.08;Mark Walsh;88.22;"6;3";L48;European Darts Grand Prix;16.10.2015
1563;Gerwyn Price;87.13;Max Hopp;88.31;"6;5";L48;European Darts Grand Prix;16.10.2015
1564;Dean Winstanley;83.58;Devon Petersen;82.52;"6;5";L48;European Darts Grand Prix;16.10.2015
1565;Stephen Bunting;94.22;Alan Norris;95.13;"6;4";L48;European Darts Grand Prix;16.10.2015
1566;Jermaine Wattimena;84.86;Robert Marijanovic;85.3;"6;5";L48;European Darts Grand Prix;16.10.2015
1567;Mark Webster;89.71;Stephen Willard;86.34;"6;3";L48;European Darts Grand Prix;16.10.2015
1568;Dave Ladley;87.1;Magnus Caris;84.7;"6;5";L48;European Darts Grand Prix;16.10.2015
1569;Lee Evans;92.94;Jyhan Artut;91.66;"6;3";L48;European Darts Grand Prix;16.10.2015
1570;Mickey Mansell;92.58;Robbie Green;82.59;"6;1";L48;European Darts Grand Prix;16.10.2015
1571;Joe Cullen;95.12;Toni Alcinas;83.77;"6;3";L48;European Darts Grand Prix;16.10.2015
1572;Raymond van Barneveld;100.76;Johnny Haines;91.95;"6;3";L48;European Darts Grand Prix;16.10.2015
1573;Jeffrey de Zwaan;93.19;Rowby-John Rodriguez;85.83;"6;3";L48;European Darts Grand Prix;16.10.2015
1574;Mensur Suljovic;88.63;Mark Barilli;86.08;"6;4";L48;European Darts Grand Prix;16.10.2015
1575;Jelle Klaasen;104.78;David Pallett;94.07;"6;4";L32;European Darts Grand Prix;17.10.2015
1576;Robert Thornton;92.04;Jonny Clayton;90.42;"6;5";L32;European Darts Grand Prix;17.10.2015
1577;Simon Whitlock;100.72;Jamie Caven;95.57;"6;4";L32;European Darts Grand Prix;17.10.2015
1578;James Wade;95.32;Mark Webster;90.09;"6;3";L32;European Darts Grand Prix;17.10.2015
1579;Steve Beaton;95.54;Justin Pipe;91.84;"6;5";L32;European Darts Grand Prix;17.10.2015
1580;Kim Huybrechts;105.71;Dave Ladley;89.23;"6;4";L32;European Darts Grand Prix;17.10.2015
1581;Gerwyn Price;88.44;Benito van de Pas;92.08;"6;3";L32;European Darts Grand Prix;17.10.2015
1582;Michael Smith;96.32;Dean Winstanley;87.5;"6;3";L32;European Darts Grand Prix;17.10.2015
1583;Lee Evans;95.92;Terry Jenkins;95.49;"6;4";L32;European Darts Grand Prix;17.10.2015
1584;Ian White;97.1;Mickey Mansell;94.02;"6;3";L32;European Darts Grand Prix;17.10.2015
1585;Stephen Bunting;100.72;Vincent van der Voort;95.01;"6;4";L32;European Darts Grand Prix;17.10.2015
1586;Peter Wright;90.43;Jermaine Wattimena;88.59;"6;3";L32;European Darts Grand Prix;17.10.2015
1587;Joe Cullen;103.58;Dave Chisnall;90.14;"6;2";L32;European Darts Grand Prix;17.10.2015
1588;Raymond van Barneveld;95.97;Brendan Dolan;90.59;"6;1";L32;European Darts Grand Prix;17.10.2015
1589;Mervyn King;94.74;Jeffrey de Zwaan;92.61;"6;2";L32;European Darts Grand Prix;17.10.2015
1590;Mensur Suljovic;109.7;Michael van Gerwen;111.37;"6;4";L32;European Darts Grand Prix;17.10.2015
1591;Jelle Klaasen;91.05;Robert Thornton;93.45;"6;4";L16;European Darts Grand Prix;18.10.2015
1592;James Wade;96.83;Simon Whitlock;93.94;"6;5";L16;European Darts Grand Prix;18.10.2015
1593;Kim Huybrechts;104.7;Steve Beaton;100.25;"6;5";L16;European Darts Grand Prix;18.10.2015
1594;Michael Smith;93.1;Gerwyn Price;87.36;"6;3";L16;European Darts Grand Prix;18.10.2015
1595;Ian White;102.69;Lee Evans;96.9;"6;3";L16;European Darts Grand Prix;18.10.2015
1596;Peter Wright;99.21;Stephen Bunting;103.3;"6;2";L16;European Darts Grand Prix;18.10.2015
1597;Joe Cullen;110.16;Raymond van Barneveld;111.06;"6;2";L16;European Darts Grand Prix;18.10.2015
1598;Mensur Suljovic;97.24;Mervyn King;98.92;"6;5";L16;European Darts Grand Prix;18.10.2015
1599;James Wade;103.52;Jelle Klaasen;94.9;"6;4";QF;European Darts Grand Prix;18.10.2015
1600;Kim Huybrechts;97.51;Michael Smith;92.08;"6;5";QF;European Darts Grand Prix;18.10.2015
1601;Peter Wright;99.12;Ian White;98.1;"6;5";QF;European Darts Grand Prix;18.10.2015
1602;Mensur Suljovic;91.66;Joe Cullen;89.88;"6;4";QF;European Darts Grand Prix;18.10.2015
1603;Kim Huybrechts;96.59;James Wade;89.08;"6;4";SF;European Darts Grand Prix;18.10.2015
1604;Peter Wright;94.58;Mensur Suljovic;96.44;"6;5";SF;European Darts Grand Prix;18.10.2015
1605;Kim Huybrechts;99.3;Peter Wright;99.95;"6;5";Final;European Darts Grand Prix;18.10.2015
1606;James Richardson;92.69642857142858;Zoran Lerchbacher;91.68072289156626;"6;5";L48;Dutch Darts Masters;12.02.2016
1607;Ritchie Edhouse;90.15789473684211;Martin Schindler;93.91836734693878;"6;4";L48;Dutch Darts Masters;12.02.2016
1608;Remco van Eijden;90.73214285714286;Paul Milford;88.42771084337349;"6;5";L48;Dutch Darts Masters;12.02.2016
1609;Jamie Lewis;98.02173913043478;Andree Welge;77.20689655172413;"6;0";L48;Dutch Darts Masters;12.02.2016
1610;Kevin Thomas;81.95541401273886;Jan Dekker;79.74193548387098;"6;3";L48;Dutch Darts Masters;12.02.2016
1611;John Henderson;84.37058823529412;Dimitri van den Bergh;87.48554913294797;"6;5";L48;Dutch Darts Masters;12.02.2016
1612;Simon Whitlock;90.54961832061069;Mike de Decker;83.688;"6;2";L48;Dutch Darts Masters;12.02.2016
1613;Rowby-John Rodriguez;89.6319018404908;Robbie Green;89.35443037974684;"6;4";L48;Dutch Darts Masters;12.02.2016
1614;Kevin Painter;87.62790697674419;Jamie Caven;90.9298245614035;"6;5";L48;Dutch Darts Masters;12.02.2016
1615;Daryl Gurney;98.28;Jyhan Artut;93.78947368421052;"6;5";L48;Dutch Darts Masters;12.02.2016
1616;Ryan Harrington;83.11046511627907;David Pallett;83.82456140350877;"6;4";L48;Dutch Darts Masters;12.02.2016
1617;Stephen Bunting;94.92631578947368;John Michael;72.66666666666666;"6;0";L48;Dutch Darts Masters;12.02.2016
1618;Gerwyn Price;88.92;Dirk van Duijvenbode;80.08783783783784;"6;3";L48;Dutch Darts Masters;12.02.2016
1619;Mervyn King;92.22794117647058;Ronnie Baxter;90.0;"6;3";L48;Dutch Darts Masters;12.02.2016
1620;Mark Webster;100.92307692307693;Jermaine Wattimena;92.97391304347826;"6;2";L48;Dutch Darts Masters;12.02.2016
1621;Devon Petersen;95.6625;Ricky Evans;91.88198757763975;"6;5";L48;Dutch Darts Masters;12.02.2016
1622;Justin Pipe;98.44370860927151;Jamie Lewis;103.84459459459458;"6;5";L32;Dutch Darts Masters;13.02.2016
1623;Terry Jenkins;93.7027027027027;James Richardson;88.31067961165049;"6;1";L32;Dutch Darts Masters;13.02.2016
1624;Daryl Gurney;87.89634146341463;Brendan Dolan;81.61818181818182;"6;4";L32;Dutch Darts Masters;13.02.2016
